,dropZone,lat,lon,elevation,location,country
59,DZ Krutitcy,54.27608164,40.81944466,127.0,Shilovo,RUS
146,DZ Maiskoe,48.492675,35.626109,145.0,Maiske,UKR
22,DZ Pushchino,54.789712,37.642467,238.0,Pushchino,RUS
218,DZ Putilovo,59.835019,31.480613,59.0,Putilovo,RUS
110,Davidovac,43.86637658,21.48231089,161.0,Davidovac,SRB
208,Diepholz,52.5855,8.340667,39.0,Diepholz,GER
173,Dropzone 5 Ocean,50.004393,30.19691,185.0,Pinchuky,UKR
158,Dropzone Denmark,56.1847,9.04445,51.0,Herning,DEN
247,Dropzone Thailand,12.67328127,", 101.54867260682072",5.0,Rayong,THA
112,Durham,54.76464192,-1.38691127,140.0,Durham,GBR
159,EPCO - Gruyere,46.593343,7.094463,688.0,Gruyeres,SUI
200,Ebnat-Kappel,47.270566,9.110623,630.0,Ebnat-Kappel,SUI
167,Eden North Parachute Schools,53.624697,-114.167311,737.0,Onoway,CAN
57,Edmonton,54.14057759,-113.7459719,675.0,Edmonton,CAN
166,Edmonton Skydive,54.141688,-113.740138,675.0,Westlock,CAN
96,Erden,43.4980558,23.30517769,186.0,Erden,BUL
58,Eslov,55.85087572,13.32844377,90.0,Eslov,SWE
239,FSC Südpfalz,49.031666,7.99,150.0,Schweighofen,GER
230,FSG Fallschirmsportgemeinschaft,53.006699,13.205,50.0,Gransee,GER
139,Faldskaermsklubben.dk,54.69961,11.437447,5.0,Rodby,DEN
164,Fallschirmgruppe Sittertal,47.508978,9.262669,506.0,Sitterdorf,SUI
6,Fallschirmsport Marl e.V.,51.6472,7.1633,72.0,Marl,GER
223,Fallschirmsport-Club Passau e.V.,48.518055,13.345833,410.0,Fuerstenzell,GER
100,Fallschirmsportspringerclub Oberhausen e.V.,49.38834422,10.21812201,399.0,Rothenburg ob der Tauber,GER
233,Fallschirmspringen Para Club Wr. Neustadt,47.84,16.221701,285.0,Wiener Neustadt,AUT
172,Fallskaermsklubben Cirrus Goeteborg,58.039167,12.785833,100.0,Vargarda,SWE
250,Fallskärmsklubben Aros,59.58200212744969,16.50168799813618,9.0,Västerås,SWE
48,Fermo,43.22684599,13.74195457,16.0,Fermo,ITA
67,Fly Free Skydiving,38.19478125,-90.38583577,132.0,Festus,USA
237,GPS-Bex,46.258301,6.98639,400.0,Bex,SUI
106,Gading,-7.91647034,110.5657142,214.0,Gading,INA
78,Garzigliana,44.83440972,7.36347914,305.0,Garzigliana,ITA
206,Glidersports Skydiving,38.354669,-93.67516,251.0,Clinton,USA
54,Gliwice,50.270693,18.67427454,254.0,Gliwice,POL
8,GoJump Oceanside,33.218,-117.3515,8.0,Oceanside,USA
193,Hinton Skydiving Centre,52.028717,-1.207157,154.0,Brackley,GBR
64,Illertissen ,48.23524297,10.13660431,512.0,Illertissen ,GER
163,Irish Parachute Club,53.249674,-7.123328,73.0,Clonbullogue,IRL
36,JUMP-TANDEM s.r.o.,49.4478303,17.13403702,214.0,Prostejov,CZE
98,Jamijarvi,61.77660621,22.7153331,154.0,Jamijarvi,FIN
74,Jastarnia,54.710181,18.64605188,1.0,Jastarnia,POL
103,Jeffreys bay,-34.10285902,24.8815012,5.0,Jeffreys bay,RSA
37,Jihlava,49.42058439,15.63575506,555.0,Jihlava,CZE
190,Johannesburg Skydiving Club,-26.369198,27.349391,1524.0,Carletonville,RSA
222,Jump Club Krems,48.446899,15.635,312.0,Krems,AUT
23,Kapos DropZone,46.389969,17.731702,156.0,Kaposvar,RUS
27,Kaunas Skydiving Club,54.6494302,24.06236627,50.0,Pociunai,LTU
92,Khozhevo,54.25086303,26.86723709,195.0,Khozhevo,RUS
43,Kolin,50.00604103,15.17419517,267.0,Kolin,CZE
95,Kremidovka,46.76289872,30.79006433,76.0,Kremidovka,RUS
118,Ksaverivka,50.00461536,30.19778967,185.0,Ksaverivka,UKR
84,Lasclaveries,43.42770425,-0.28737724,257.0,Lasclaveries,FRA
127,Lobos,-35.21328493,-59.13340151,30.0,Lobos,ARG
143,Locarno,46.165263,8.877822,198.0,Locarno,SUI
83,Loginovo,56.64716137,61.3602519,249.0,Loginovo,RUS
71,Lyon,45.65325073,4.91643548,199.0,Lyon,FRA
38,Mid-America Sport Parachute,39.5325855,-89.3307069,190.0,Taylorville,USA
125,Midwest Freefall,42.75950473,-82.9423812,207.0,Ray,USA
153,Mile-Hi Skydiving Center,40.1643889,-105.1636389,1541.0,Longmont,USA
25,Moli D Zone,44.597435,11.653231,7.0,Molinella,ITA
138,Monchy-Lagache,49.87389553,3.03537206,295.0,Monchy-Lagache,FRA
137,Morelos,18.70198969,-98.89203787,1224.0,Morelos,MEX
34,Most,50.52436163,13.68278503,331.0,Most,CZE
75,Murska Sobota,46.630755,16.178322,184.0,Murska Sobota,SLO
42,National Paracentrum Teuge,52.24088496,6.04436338,5.0,Teuge,NED
207,Nimbus fallskjermklubb,59.397499,11.3469,116.0,Rakkestad,NOR
165,Nordsjællands Faldskærmsklub,55.852741,12.072545,3.0,Frederikssund,DEN
157,Nouvel Air Skydiving,45.285793,-73.007171,55.0,Farnham,CAN
68,Nowy Targ Skydive,49.46677838,20.04737735,628.0,Nowy Targ,POL
219,Oslo Fallskjermklubb,61.257401,11.6689,494.0,Rena,NOR
161,PARA-SPORT-CLUB Triengen,47.226164,8.078353,486.0,Triengen,SUI
211,PCV - Dropzone Zwartberg,51.0154,5.52647,85.0,Zwartberg,BEL
135,Paarl,-33.57674993,18.91567826,85.0,Paarl,RSA
181,Pacific Skydiving Center,21.5794736,-158.1972814,4.0,Waialua,USA
109,Padinska Skela,44.9352382,20.44374347,71.0,Padinska Skela,SRB
215,Para Club de Bourbon,-21.3209,55.424999,18.0,Pierrefonds,FRA
234,Para-Club Valais,46.761902,6.61333,433.0,Yverdon-les-Bains,SUI
231,Paracadutismo Arezzo,43.455898,11.847,248.0,Arezzo,ITA
41,Paracentrum Texel,53.11766712,4.82857704,1.0,Texel,NED
216,Parachute Air Club Maroc,32.400002,-6.33333,509.0,Beni Mellal,MAR
156,Parachute GO Skydive,45.5213889,-75.5641667,64.0,Gatineau,CAN
175,Parachute Victoriaville,46.110833,-71.931667,148.0,Victoriaville,CAN
217,Parachuting Sky Company,-23.298056,-47.691944,625.0,Boituva,BRA
169,Parachutisme Adrenaline Saint-Jerome,45.7803,-74.061897,168.0,Saint-Jerome,CAN
176,Parachutisme Adrenaline Trois-Rivieres,46.352778,-72.679444,61.0,Trois-Rivieres,CAN
244,Parachutisme Nancy Lorraine,48.5928,6.24111,292.0,Azelot,FRA
202,Paraclub Beromünster - Skydive Luzern,47.189999,8.20472,654.0,Neudorf,SUI
13,Paraclub du Puy,45.07929542632054,3.7620959846568214,832.0,Chazpuzac,FRA
80,Picton,-34.22358828,150.6685424,186.0,Picton,AUS
35,Pribram,49.719174,14.097512,466.0,Pribram,CZE
136,Pucon,-39.29121996,-71.91870332,260.0,Pucon,CHI
86,Pujaut,43.996807,4.757149,45.0,Pujaut,FRA
132,Rayong,12.710747,101.628877,5.0,Rayong,THA
199,Regional School Skydiving Center of Alsace,48.554401,7.77806,139.0,Strasbourg,FRA
73,Royan,45.63220146,-0.9768793,22.0,Royan,FRA
97,San Bartolo,-12.3923752,-76.75812721,60.0,San Bartolo,PER
133,Santa Fe,-32.81409475,-61.3676548,89.0,Santa Fe,ARG
126,Satakunnan Laskuvarjourheilijat ry,61.46263073,21.80530787,14.0,Pori,FIN
242,Sawtooth,32.6608472,-111.6815306,472.0,Sawtooth,USA
111,Sem,59.29872455,10.36903381,10.0,Sem,NOR
76,Seville,37.29575614,-6.16133451,45.0,Seville,ESP
178,Skovde Flygplats,58.456402,13.9727,99.0,Skovde,SWE
183,Sky Camp Drop Zone,52.3192,18.166998,114.0,Kazimierz Biskupi,POL
31,Sky Roads Samara,53.24922509,50.04617929,40.0,Samara,RUS
102,SkyDance SkyDiving,38.584837,-121.853758,30.0,Davis,USA
197,SkyDive Rustenburg,-25.6443,27.271099,1128.0,Rustenburg,RSA
121,Skydive Alabama,34.26740468,-86.85919762,295.0,Vinemont,USA
179,Skydive Algarve,37.149552,-8.584431,2.0,Alvor,POR
241,Skydive Antwerp,51.306099,4.38722,3.0,Hoevenen,BEL
3,Skydive Arizona,32.8067,-111.5866,461.0,Eloy,USA
210,Skydive Athens,38.455993,23.134503,91.0,Akrefnia,GRE
123,Skydive Atlas,40.44862897,-99.33970928,705.0,Holdrege,USA
26,Skydive Balaton,46.86286498,18.08786809,127.0,Siofok,HUN
177,Skydive Black Forest Lahr,48.369301,7.82772,156.0,Lahr,GER
245,Skydive Buckeye,33.4204167,-112.6861808,315.0,Buckeye,USA
198,Skydive Burnaby,42.877499,-79.352798,183.0,Wainfleet,CAN
152,Skydive Buzz,50.86,-3.234667,256.0,Dunkeswell,GBR
246,Skydive Byron Bay,-28.594696,153.551102,3.0,Tyagarah,AUS
170,Skydive California,37.7313264,-121.3355889,11.0,Tracy,USA
147,Skydive Carolina,34.790534,-81.195579,195.0,Chester,USA
14,Skydive Chicago,41.3997,-88.7939,188.0,Ottawa,USA
17,Skydive City,28.228,-82.156,27.0,Zephyrhills,USA
221,Skydive Costa d'Argento,42.494951,11.239309,7.0,Orbetello,ITA
1,Skydive Deland,29.067,-81.2837,24.0,DeLand,USA
49,Skydive Dubai Desert,24.88522721,55.54800689,157.0,Dubai Desert,UAE
